timestamp,status,question_id,phase,order_no,line_no,generator,success,question,drug_name,error,resolved_drug_name,routed_doc_type,routed_sections,hit_count,retrieval_seconds,generation_seconds,total_seconds,estimated_context_chars,estimated_context_tokens,estimated_prompt_chars,estimated_prompt_tokens,estimated_answer_chars,estimated_answer_tokens,command
2026-03-25T05:52:43,queued,728678169eb11f80,non_ollama,1,17,none,,What are the key warnings and contraindications?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""What are the key warnings and contraindications?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,f2f3fd6403cc606a,non_ollama,2,26,none,,What are the contraindications?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""What are the contraindications?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,f0958f2bd1b35e11,non_ollama,3,27,none,,What are the approved indications and dosage instructions?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""What are the approved indications and dosage instructions?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,2fc910bdc227ecc2,non_ollama,4,28,none,,What are the important precautions before using this drug?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""What are the important precautions before using this drug?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,bf6046ccf15730de,non_ollama,5,29,none,,"Before using this drug, what should patients be careful about?",chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Before using this drug, what should patients be careful about?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,0ef5fff7317acb98,non_ollama,6,30,none,,Who should not use this drug?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Who should not use this drug?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,4d76915852199804,non_ollama,7,31,none,,What should patients avoid while taking this drug?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""What should patients avoid while taking this drug?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,fbf4ac72ea442773,non_ollama,8,32,none,,What are the major adverse reactions and serious adverse events?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""What are the major adverse reactions and serious adverse events?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,961a7a7b5f6459d8,non_ollama,9,33,none,,"Are there precautions for pediatric patients, elderly patients, pregnancy, or breastfeeding?",chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Are there precautions for pediatric patients, elderly patients, pregnancy, or breastfeeding?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,9ec87f962d7181fe,non_ollama,10,34,none,,"Show the pages that discuss warnings, contraindications, and precautions.",chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Show the pages that discuss warnings, contraindications, and precautions."" --drug-name ""chlorhexidine gluconate"" --json"
2026-03-25T05:52:43,queued,35cc4ed5c5614ada,non_ollama,11,44,none,,What are the active ingredient and excipients?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""What are the active ingredient and excipients?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,8c125efea852179a,non_ollama,12,45,none,,List the full qualitative composition of the product.,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""List the full qualitative composition of the product."" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,33a2d61cdf60b488,non_ollama,13,46,none,,What is the quantitative composition per unit dose?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""What is the quantitative composition per unit dose?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,297451c6821b29f7,non_ollama,14,47,none,,What dosage forms and strengths are available?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""What dosage forms and strengths are available?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,02551f863a48af23,non_ollama,15,48,none,,Which excipients are present in the 50 mg and 100 mg tablets?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Which excipients are present in the 50 mg and 100 mg tablets?"" --drug-name ""chlorhexidine gluconate"""
